date,division,index,description
11/1/2024,4,126.8,"Housing, Water, Electricity, Gas & Other Fuels"
12/1/2024,4,126.8,"Housing, Water, Electricity, Gas & Other Fuels"
1/1/2025,4,126.9,"Housing, Water, Electricity, Gas & Other Fuels"
2/1/2025,4,127.6,"Housing, Water, Electricity, Gas & Other Fuels"
3/1/2025,4,127.6,"Housing, Water, Electricity, Gas & Other Fuels"
4/1/2025,4,127.6,"Housing, Water, Electricity, Gas & Other Fuels"
5/1/2025,4,128.2,"Housing, Water, Electricity, Gas & Other Fuels"
6/1/2025,4,128.2,"Housing, Water, Electricity, Gas & Other Fuels"
7/1/2025,4,127.7,"Housing, Water, Electricity, Gas & Other Fuels"
8/1/2025,4,128,"Housing, Water, Electricity, Gas & Other Fuels"
9/1/2025,4,128.4,"Housing, Water, Electricity, Gas & Other Fuels"
10/1/2025,4,127.8,"Housing, Water, Electricity, Gas & Other Fuels"
11/1/2025,4,127.8,"Housing, Water, Electricity, Gas & Other Fuels"
12/1/2025,4,128.1,"Housing, Water, Electricity, Gas & Other Fuels"
1/1/2026,4,128.3,"Housing, Water, Electricity, Gas & Other Fuels"
2/1/2026,4,129.5,"Housing, Water, Electricity, Gas & Other Fuels"
3/1/2026,4,129.6,"Housing, Water, Electricity, Gas & Other Fuels"
1/1/2020,5,112.2,"Furnishings, Household Equipment & Routine Household Maintenance"
2/1/2020,5,112.3,"Furnishings, Household Equipment & Routine Household Maintenance"
3/1/2020,5,112.2,"Furnishings, Household Equipment & Routine Household Maintenance"
4/1/2020,5,111.6,"Furnishings, Household Equipment & Routine Household Maintenance"
5/1/2020,5,111.7,"Furnishings, Household Equipment & Routine Household Maintenance"
6/1/2020,5,111.8,"Furnishings, Household Equipment & Routine Household Maintenance"
7/1/2020,5,111.8,"Furnishings, Household Equipment & Routine Household Maintenance"
8/1/2020,5,111.9,"Furnishings, Household Equipment & Routine Household Maintenance"
9/1/2020,5,112,"Furnishings, Household Equipment & Routine Household Maintenance"
10/1/2020,5,111.9,"Furnishings, Household Equipment & Routine Household Maintenance"
11/1/2020,5,111.9,"Furnishings, Household Equipment & Routine Household Maintenance"
12/1/2020,5,111.9,"Furnishings, Household Equipment & Routine Household Maintenance"
1/1/2021,5,112.7,"Furnishings, Household Equipment & Routine Household Maintenance"
2/1/2021,5,112.8,"Furnishings, Household Equipment & Routine Household Maintenance"
3/1/2021,5,113.3,"Furnishings, Household Equipment & Routine Household Maintenance"
4/1/2021,5,113.4,"Furnishings, Household Equipment & Routine Household Maintenance"
5/1/2021,5,113.6,"Furnishings, Household Equipment & Routine Household Maintenance"
6/1/2021,5,113.7,"Furnishings, Household Equipment & Routine Household Maintenance"
7/1/2021,5,113.7,"Furnishings, Household Equipment & Routine Household Maintenance"
8/1/2021,5,113.7,"Furnishings, Household Equipment & Routine Household Maintenance"
9/1/2021,5,113.8,"Furnishings, Household Equipment & Routine Household Maintenance"
10/1/2021,5,114,"Furnishings, Household Equipment & Routine Household Maintenance"
11/1/2021,5,114.3,"Furnishings, Household Equipment & Routine Household Maintenance"
12/1/2021,5,114.6,"Furnishings, Household Equipment & Routine Household Maintenance"
1/1/2022,5,115.2,"Furnishings, Household Equipment & Routine Household Maintenance"
2/1/2022,5,115.5,"Furnishings, Household Equipment & Routine Household Maintenance"
3/1/2022,5,116,"Furnishings, Household Equipment & Routine Household Maintenance"
4/1/2022,5,116.1,"Furnishings, Household Equipment & Routine Household Maintenance"
5/1/2022,5,116.7,"Furnishings, Household Equipment & Routine Household Maintenance"
6/1/2022,5,117.3,"Furnishings, Household Equipment & Routine Household Maintenance"
7/1/2022,5,118,"Furnishings, Household Equipment & Routine Household Maintenance"
8/1/2022,5,118.6,"Furnishings, Household Equipment & Routine Household Maintenance"
9/1/2022,5,118.7,"Furnishings, Household Equipment & Routine Household Maintenance"
10/1/2022,5,119,"Furnishings, Household Equipment & Routine Household Maintenance"
11/1/2022,5,119.2,"Furnishings, Household Equipment & Routine Household Maintenance"
12/1/2022,5,119.4,"Furnishings, Household Equipment & Routine Household Maintenance"
1/1/2023,5,119.7,"Furnishings, Household Equipment & Routine Household Maintenance"
2/1/2023,5,120,"Furnishings, Household Equipment & Routine Household Maintenance"
3/1/2023,5,120.2,"Furnishings, Household Equipment & Routine Household Maintenance"
4/1/2023,5,120.2,"Furnishings, Household Equipment & Routine Household Maintenance"
5/1/2023,5,120.5,"Furnishings, Household Equipment & Routine Household Maintenance"
6/1/2023,5,120.6,"Furnishings, Household Equipment & Routine Household Maintenance"
7/1/2023,5,120.9,"Furnishings, Household Equipment & Routine Household Maintenance"
8/1/2023,5,121.2,"Furnishings, Household Equipment & Routine Household Maintenance"
9/1/2023,5,121.4,"Furnishings, Household Equipment & Routine Household Maintenance"
10/1/2023,5,121.3,"Furnishings, Household Equipment & Routine Household Maintenance"
11/1/2023,5,121.6,"Furnishings, Household Equipment & Routine Household Maintenance"
12/1/2023,5,121.4,"Furnishings, Household Equipment & Routine Household Maintenance"
1/1/2024,5,121.5,"Furnishings, Household Equipment & Routine Household Maintenance"
2/1/2024,5,121.6,"Furnishings, Household Equipment & Routine Household Maintenance"
3/1/2024,5,121.8,"Furnishings, Household Equipment & Routine Household Maintenance"
