state,date,division,index
Pahang,8/1/2020,overall,117.5
Pahang,9/1/2020,overall,117.5
Pahang,10/1/2020,overall,117.5
Pahang,11/1/2020,overall,117.2
Pahang,12/1/2020,overall,118.3
Pahang,1/1/2021,overall,120.1
Pahang,2/1/2021,overall,120.4
Pahang,3/1/2021,overall,120.9
Pahang,4/1/2021,overall,121.3
Pahang,5/1/2021,overall,121.1
Pahang,6/1/2021,overall,121.3
Pahang,7/1/2021,overall,120.4
Pahang,8/1/2021,overall,120.3
Pahang,9/1/2021,overall,120.8
Pahang,10/1/2021,overall,121.8
Pahang,11/1/2021,overall,122
Pahang,12/1/2021,overall,122.5
Pahang,1/1/2022,overall,122.6
Pahang,2/1/2022,overall,122.7
Pahang,3/1/2022,overall,123.1
Pahang,4/1/2022,overall,123.3
Pahang,5/1/2022,overall,123.9
Pahang,6/1/2022,overall,124.5
Pahang,7/1/2022,overall,125.1
Pahang,8/1/2022,overall,125.4
Pahang,9/1/2022,overall,125.8
Pahang,10/1/2022,overall,126.2
Pahang,11/1/2022,overall,126.7
Pahang,12/1/2022,overall,126.9
Pahang,1/1/2023,overall,127.2
Pahang,2/1/2023,overall,127.6
Pahang,3/1/2023,overall,127.7
Pahang,4/1/2023,overall,127.6
Pahang,5/1/2023,overall,127.8
Pahang,6/1/2023,overall,128.1
Pahang,7/1/2023,overall,128.3
Pahang,8/1/2023,overall,128.2
Pahang,9/1/2023,overall,128.3
Pahang,10/1/2023,overall,128.3
Pahang,11/1/2023,overall,128.4
Pahang,12/1/2023,overall,128.7
Pahang,1/1/2024,overall,129.4
Pahang,2/1/2024,overall,130.6
Pahang,3/1/2024,overall,130.4
Pahang,4/1/2024,overall,130.6
Pahang,5/1/2024,overall,131.1
Pahang,6/1/2024,overall,131.5
Pahang,7/1/2024,overall,131.6
Pahang,8/1/2024,overall,131.8
Pahang,9/1/2024,overall,131.7
Pahang,10/1/2024,overall,131.7
Pahang,11/1/2024,overall,131.5
Pahang,12/1/2024,overall,131.6
Pahang,1/1/2025,overall,131.9
Pahang,2/1/2025,overall,132
Pahang,3/1/2025,overall,131.9
Pahang,4/1/2025,overall,131.9
Pahang,5/1/2025,overall,132
Pahang,6/1/2025,overall,132.4
Pahang,7/1/2025,overall,132.7
Pahang,8/1/2025,overall,133.2
Pahang,9/1/2025,overall,133.5
Pahang,10/1/2025,overall,133.4
Pahang,11/1/2025,overall,133.4
Pahang,12/1/2025,overall,134
Pahang,1/1/2026,overall,134.4
Pahang,2/1/2026,overall,134.8
Pahang,3/1/2026,overall,135.2
Perak,1/1/2020,overall,118.3
Perak,2/1/2020,overall,118.4
Perak,3/1/2020,overall,116.9
Perak,4/1/2020,overall,113.7
Perak,5/1/2020,overall,113.9
Perak,6/1/2020,overall,115.1
Perak,7/1/2020,overall,115.8
Perak,8/1/2020,overall,116
Perak,9/1/2020,overall,115.9
Perak,10/1/2020,overall,115.9
Perak,11/1/2020,overall,115.6
Perak,12/1/2020,overall,116.4
Perak,1/1/2021,overall,118.2
Perak,2/1/2021,overall,118.6
Perak,3/1/2021,overall,118.9
Perak,4/1/2021,overall,119
Perak,5/1/2021,overall,119
Perak,6/1/2021,overall,119.2
Perak,7/1/2021,overall,118.4
Perak,8/1/2021,overall,118.4
Perak,9/1/2021,overall,118.8
Perak,10/1/2021,overall,119.8
Perak,11/1/2021,overall,120.2
Perak,12/1/2021,overall,120.7
Perak,1/1/2022,overall,121.1
Perak,2/1/2022,overall,121.2
Perak,3/1/2022,overall,121.5
Perak,4/1/2022,overall,121.8
Perak,5/1/2022,overall,122.3
Perak,6/1/2022,overall,123
Perak,7/1/2022,overall,123.5
Perak,8/1/2022,overall,123.8
Perak,9/1/2022,overall,123.9
Perak,10/1/2022,overall,124.1
Perak,11/1/2022,overall,124.5
Perak,12/1/2022,overall,124.7
Perak,1/1/2023,overall,125.4
Perak,2/1/2023,overall,125.8
Perak,3/1/2023,overall,125.9
Perak,4/1/2023,overall,126
Perak,5/1/2023,overall,126.2
Perak,6/1/2023,overall,126.3
Perak,7/1/2023,overall,126.5
Perak,8/1/2023,overall,126.7
Perak,9/1/2023,overall,126.8
Perak,10/1/2023,overall,126.8
Perak,11/1/2023,overall,126.9
Perak,12/1/2023,overall,127.1
Perak,1/1/2024,overall,127
Perak,2/1/2024,overall,127.3
Perak,3/1/2024,overall,127.2
Perak,4/1/2024,overall,127.3
Perak,5/1/2024,overall,127.7
Perak,6/1/2024,overall,127.9
Perak,7/1/2024,overall,127.8
Perak,8/1/2024,overall,127.9
Perak,9/1/2024,overall,128
Perak,10/1/2024,overall,128.2
Perak,11/1/2024,overall,128.2
Perak,12/1/2024,overall,128.3
Perak,1/1/2025,overall,128.4
Perak,2/1/2025,overall,128.6
Perak,3/1/2025,overall,128.6
Perak,4/1/2025,overall,128.7
Perak,5/1/2025,overall,128.7
Perak,6/1/2025,overall,128.8
Perak,7/1/2025,overall,128.8
Perak,8/1/2025,overall,128.9
Perak,9/1/2025,overall,129.1
Perak,10/1/2025,overall,128.9
Perak,11/1/2025,overall,128.8
Perak,12/1/2025,overall,129.4
Perak,1/1/2026,overall,129.7
Perak,2/1/2026,overall,129.8
Perak,3/1/2026,overall,130
Perlis,1/1/2020,overall,116.3
Perlis,2/1/2020,overall,116.1
Perlis,3/1/2020,overall,114.1
Perlis,4/1/2020,overall,110.3
Perlis,5/1/2020,overall,110.6
Perlis,6/1/2020,overall,112.4
Perlis,7/1/2020,overall,113
Perlis,8/1/2020,overall,113.1
Perlis,9/1/2020,overall,112.9
Perlis,10/1/2020,overall,112.9
Perlis,11/1/2020,overall,112.5
Perlis,12/1/2020,overall,113.6
Perlis,1/1/2021,overall,115.5
Perlis,2/1/2021,overall,115.9
Perlis,3/1/2021,overall,116.2
Perlis,4/1/2021,overall,116.2
Perlis,5/1/2021,overall,116.3
Perlis,6/1/2021,overall,116.4
Perlis,7/1/2021,overall,115.8
Perlis,8/1/2021,overall,115.8
Perlis,9/1/2021,overall,116.3
Perlis,10/1/2021,overall,117.2
Perlis,11/1/2021,overall,117.6
Perlis,12/1/2021,overall,118.3
Perlis,1/1/2022,overall,118.5
Perlis,2/1/2022,overall,119
Perlis,3/1/2022,overall,119.2
Perlis,4/1/2022,overall,119.4
Perlis,5/1/2022,overall,119.7
Perlis,6/1/2022,overall,120.3
Perlis,7/1/2022,overall,120.4
Perlis,8/1/2022,overall,120.4
Perlis,9/1/2022,overall,120.6
Perlis,10/1/2022,overall,121.4
Perlis,11/1/2022,overall,121.5
Perlis,12/1/2022,overall,121.6
Perlis,1/1/2023,overall,121.9
Perlis,2/1/2023,overall,122.1
Perlis,3/1/2023,overall,122.2
Perlis,4/1/2023,overall,122.3
Perlis,5/1/2023,overall,122.4
Perlis,6/1/2023,overall,122.6
Perlis,7/1/2023,overall,122.8
Perlis,8/1/2023,overall,123.3
Perlis,9/1/2023,overall,123.3
Perlis,10/1/2023,overall,123.4
Perlis,11/1/2023,overall,123.2
Perlis,12/1/2023,overall,123.5
Perlis,1/1/2024,overall,123.9
Perlis,2/1/2024,overall,124.5
Perlis,3/1/2024,overall,124.5
Perlis,4/1/2024,overall,124.5
Perlis,5/1/2024,overall,124.9
Perlis,6/1/2024,overall,125.1
Perlis,7/1/2024,overall,125.2
Perlis,8/1/2024,overall,125.2
Perlis,9/1/2024,overall,125.1
Perlis,10/1/2024,overall,125.4
Perlis,11/1/2024,overall,125.1
Perlis,12/1/2024,overall,125.1
Perlis,1/1/2025,overall,125.3
Perlis,2/1/2025,overall,125.6
Perlis,3/1/2025,overall,125.7
Perlis,4/1/2025,overall,125.9
Perlis,5/1/2025,overall,126.1
Perlis,6/1/2025,overall,126.1
Perlis,7/1/2025,overall,125.9
Perlis,8/1/2025,overall,126.1
Perlis,9/1/2025,overall,126.8
Perlis,10/1/2025,overall,126.5
Perlis,11/1/2025,overall,126.3
Perlis,12/1/2025,overall,126.5
Perlis,1/1/2026,overall,126.8
Perlis,2/1/2026,overall,126.8
Perlis,3/1/2026,overall,127.3
Penang,1/1/2020,overall,124.2
Penang,2/1/2020,overall,124.3
Penang,3/1/2020,overall,123.1
Penang,4/1/2020,overall,120.2
Penang,5/1/2020,overall,120.4
Penang,6/1/2020,overall,121.4
Penang,7/1/2020,overall,122
Penang,8/1/2020,overall,122.3
Penang,9/1/2020,overall,122.2
Penang,10/1/2020,overall,122.3
Penang,11/1/2020,overall,122.1
Penang,12/1/2020,overall,122.6
Penang,1/1/2021,overall,124.2
Penang,2/1/2021,overall,124.6
Penang,3/1/2021,overall,124.9
Penang,4/1/2021,overall,124.9
Penang,5/1/2021,overall,124.9
Penang,6/1/2021,overall,124.9
Penang,7/1/2021,overall,124.2
Penang,8/1/2021,overall,124.2
Penang,9/1/2021,overall,124.4
Penang,10/1/2021,overall,125.3
Penang,11/1/2021,overall,125.8
Penang,12/1/2021,overall,126.4
Penang,1/1/2022,overall,126.7
Penang,2/1/2022,overall,127.1
Penang,3/1/2022,overall,127.6
Penang,4/1/2022,overall,127.8
Penang,5/1/2022,overall,128.4
Penang,6/1/2022,overall,129.2
Penang,7/1/2022,overall,129.6
Penang,8/1/2022,overall,129.7
Penang,9/1/2022,overall,129.8
Penang,10/1/2022,overall,130
Penang,11/1/2022,overall,130.3
Penang,12/1/2022,overall,130.6
Penang,1/1/2023,overall,130.9
Penang,2/1/2023,overall,131.3
Penang,3/1/2023,overall,131.2
Penang,4/1/2023,overall,131.2
Penang,5/1/2023,overall,131.6
Penang,6/1/2023,overall,131.7
Penang,7/1/2023,overall,131.8
Penang,8/1/2023,overall,132
Penang,9/1/2023,overall,132.2
Penang,10/1/2023,overall,132.4
Penang,11/1/2023,overall,132.6
Penang,12/1/2023,overall,132.9
Penang,1/1/2024,overall,133.2
Penang,2/1/2024,overall,134.9
Penang,3/1/2024,overall,135.1
Penang,4/1/2024,overall,135.4
Penang,5/1/2024,overall,135.9
Penang,6/1/2024,overall,136.1
Penang,7/1/2024,overall,136.3
Penang,8/1/2024,overall,136.4
Penang,9/1/2024,overall,136.3
Penang,10/1/2024,overall,136.5
Penang,11/1/2024,overall,136.4
Penang,12/1/2024,overall,136.3
