date,group,index,category,sub-category
1/5/2020,72,88.9,Transport,Operation of personal transport equipment
1/5/2020,73,115.7,Transport,Passenger transport services
1/5/2020,74,,Transport,Transport services of goods
1/5/2020,81,58.6,Communication,Information & communication equipment
1/5/2020,83,102.4,Communication,Information & communication services
1/5/2020,92,101.2,Recreation & Culture,Other recreational goods
1/5/2020,93,114.8,Recreation & Culture,Garden products & pets
1/5/2020,94,120.9,Recreation & Culture,Recreational services
1/5/2020,95,102.4,Recreation & Culture,Cultural goods
1/5/2020,96,123.9,Recreation & Culture,Cultural services
1/5/2020,97,113.9,Recreation & Culture,Newspapers & periodicals
1/5/2020,98,130.5,Recreation & Culture,Package holidays
1/5/2020,101,125.2,Education,Pre primary & primary education
1/5/2020,102,118.3,Education,Secondary education
1/5/2020,103,114.7,Education,Post-secondary non-tertiary education
1/5/2020,104,114.9,Education,Tertiary education
1/5/2020,105,117,Education,Education not defined by level
1/5/2020,111,136.6,Restaurants & Accommodation,Food & beverage preparation services
1/5/2020,112,103.6,Restaurants & Accommodation,Accommodation services
1/5/2020,121,109.9,Miscellaneous Goods & Services,Insurance
1/5/2020,122,103.8,Miscellaneous Goods & Services,Explicit charges by deposit-taking corporations
1/5/2020,131,114.4,Other Services,Personal care
1/5/2020,132,130.8,Other Services,Other personal item
1/5/2020,133,126.4,Other Services,Social protection
1/5/2020,139,120.1,Other Services,Other services
1/6/2020,1,142.2,Food & Non-Alcoholic Beverages,Food away from home
1/6/2020,11,132,Food & Non-Alcoholic Beverages,Food at home
1/6/2020,12,112.6,Food & Non-Alcoholic Beverages,Non-alcoholic beverages
1/6/2020,21,109.4,Alcohol & Tobacco,Alcoholic beverages
1/6/2020,23,183.7,Alcohol & Tobacco,Tobacco
1/6/2020,31,96.1,Clothing & Footwear,Clothes
1/6/2020,32,82.2,Clothing & Footwear,Shoes
1/6/2020,41,126.8,"Housing, Water, Electricity, Gas & Other Fuels",Actual rentals for housing
1/6/2020,43,126.3,"Housing, Water, Electricity, Gas & Other Fuels","Maintenance, repair & security of the dwelling"
1/6/2020,44,104.9,"Housing, Water, Electricity, Gas & Other Fuels",Water supply & miscellaneous services relating to the dwelling
1/6/2020,45,76.8,"Housing, Water, Electricity, Gas & Other Fuels","Electricity, gas & fuel"
1/6/2020,51,115.8,Furnishings & Household Equipment,"Furniture, furnishings & loose carpets"
